;;;;
;;;;
;ЧП Настин А.С.;;;
;;;;
;"
Телефоны: 37-24-05,37-49-47";;;
;;;;
;Прайс-лист;;;
;29 Апреля 2026 г.;;;
;;;;
Артикул;Наименование товаров;Розничные;;
;;"(включая НДС,
 без учета НП)";;
 ;К-т полукольцо Р2 верх+нижн. 184/183 4 шт.;780,00 руб.;шт;
5320-6105081;Привод замка двери лев. г.Димитровград;97,00 руб.;шт;
5320-6105080;Привод замка двери пр.г.Димитровград;97,00 руб.;шт;
5320-6105180;Ручка двери внутренняя г.Димитровград;224,00 руб.;шт;
5320-6105040;Ручка двери наружная к-т г.Димитровград;1 122,00 руб.;шт;
5320-6104060;Ручка стеклоподъемника  г.Димитровград;146,00 руб.;шт;
53205-6104011-00;Стеклоподъемник двери  ЕВРО левый;1 400,00 руб.;шт;
53205-6104010-00;Стеклоподъемник двери ЕВРО правый;794,00 руб.;шт;
5320-1108120-12;Тяга руч.управл.акселерат  (трос газа) г.Димитровград;214,00 руб.;шт;
5320-1108130;Тяга ручной остановки двигателя длинн. г.Димитровград;103,00 руб.;шт;
5320-6105035-10;Фиксатор замка левый г.Димитровград;351,00 руб.;шт;
5320-6105034-10;Фиксатор замка правый г.Димитровград;329,00 руб.;шт;
;Генераторы;;;
6562-3701000;Генератор 6562 КАМАЗ 4310 90А г.Самара;9 910,00 руб.;шт;
6582-3701000-02 М;Генератор 6582 КАМАЗ Евро 80А  2-х руч. г.Самара;10 628,00 руб.;шт;
6582-3701000-04 ГЧ;Генератор 6582 с широким шкивом ЕВРО г.Самара;9 710,00 руб.;шт;
6582-3701000-04 М;Генератор 6582 с широким шкивом ЕВРО г.Самара;10 361,00 руб.;шт;
AAN5182 Искра;Генератор Iskra ААN5182 24v80A Евро (аналог7762,4502,3782);10 200,00 руб.;шт;
Г273В1 НОВЫЙ;Генератор Г 273В1-3701000-03 (28В 50А) г.Самара;6 170,00 руб.;шт;
Г273В1-03М 80А;Генератор Г273В1-03М КАМАЗ, МАЗ 80А г. Самара;6 069,00 руб.;шт;
Г288Е-3701000;Генератор Г288Е 28 В 47А  г.Самара;10 960,00 руб.;шт;
7762-3701-03  (76А);Генератор МАЗ,Урал с дв. ЯМЗ Евро 2,3 г.Самара;5 406,00 руб.;шт;
БПВ46-65-02Б;Диодный мост Г273В1;408,00 руб.;шт;
БПВ 7-100-02;Диодный мост генератора 288,6562;459,00 руб.;шт;
БПВ 17-100-02;Диодный мост генератора 6582 ЕВРО;1 155,00 руб.;шт;
668.3701200-10;Ротор на Г 273В1-03  (50А);2 138,00 руб.;шт;
Г-40.3771;Ротор ФЭГТ 2000.015;1 224,00 руб.;шт;
Г65.3701100;Статор генератора 6562 (90А), 6582 (80А);2 637,00 руб.;шт;
Г273-3701100;Статор генератора Г273В1 коопер. Самара (45А);1 408,00 руб.;шт;
Г288-3701100;Статор генератора Г288 (47А);2 301,00 руб.;шт;
669.3701100-10;Статор на Г 273В1-03  (на 50А);1 347,00 руб.;шт;
Г273-3701010 А ЗАВОД;Щеткодержатель генератора;509,00 руб.;шт;
6582-3701010 ЗАВОД;Щеткодержатель ЕВРО;505,00 руб.;шт;
;Генераторы ПРАМО;;;
4501.3771-53;Генератор ( аналог 4001-53) (АТЭ-1) 28В 80А;10 702,00 руб.;шт;
